drug_id,disease_id,disease_name,max_phase,drug_name
CHEMBL1742994,EFO_0000183,Hodgkins lymphoma,4.0,BRENTUXIMAB VEDOTIN
CHEMBL1370,EFO_0005854,allergic rhinitis,4.0,BUDESONIDE
CHEMBL1370,EFO_0000341,chronic obstructive pulmonary disease,4.0,BUDESONIDE
CHEMBL1370,EFO_0000729,ulcerative colitis,4.0,BUDESONIDE
CHEMBL1072,EFO_0000373,congestive heart failure,4.0,BUMETANIDE
CHEMBL1072,EFO_0003086,kidney disease,4.0,BUMETANIDE
CHEMBL1072,EFO_0004255,nephrotic syndrome,4.0,BUMETANIDE
CHEMBL1200396,EFO_0003843,pain,4.0,BUPIVACAINE HYDROCHLORIDE
CHEMBL1098,EFO_0003843,pain,4.0,BUPIVACAINE
CHEMBL511142,EFO_0004240,heroin dependence,3.0,BUPRENORPHINE
CHEMBL2368861,EFO_0005611,opioid dependence,4.0,BUPRENORPHINE HYDROCHLORIDE
CHEMBL511142,EFO_0003843,pain,4.0,BUPRENORPHINE
CHEMBL1698,EFO_0003768,nicotine dependence,3.0,BUPROPION HYDROCHLORIDE
CHEMBL1698,EFO_0004319,smoking cessation,3.0,BUPROPION HYDROCHLORIDE
CHEMBL1201748,EFO_0000616,neoplasm,4.0,
CHEMBL1201748,EFO_0001663,prostate carcinoma,4.0,
CHEMBL1200666,EFO_0000676,psoriasis,4.0,CALCIPOTRIENE
CHEMBL846,EFO_0000676,psoriasis,4.0,CALCITRIOL
CHEMBL1201834,EFO_0002609,juvenile idiopathic arthritis,4.0,CANAKINUMAB
CHEMBL1014,EFO_0000537,hypertension,4.0,CANDESARTAN CILEXETIL
CHEMBL1773,EFO_0000305,breast carcinoma,4.0,CAPECITABINE
CHEMBL1773,EFO_0000365,colorectal adenocarcinoma,4.0,CAPECITABINE
CHEMBL1773,EFO_0002916,esophageal carcinoma,3.0,CAPECITABINE
CHEMBL1773,EFO_0000178,gastric carcinoma,4.0,CAPECITABINE
CHEMBL1773,EFO_0000616,neoplasm,4.0,CAPECITABINE
CHEMBL1773,EFO_0002618,pancreatic carcinoma,3.0,CAPECITABINE
CHEMBL1773,EFO_0000707,squamous cell carcinoma,3.0,CAPECITABINE
CHEMBL1773,EFO_0003897,stomach neoplasm,4.0,CAPECITABINE
CHEMBL1560,EFO_0000373,congestive heart failure,4.0,CAPTOPRIL
CHEMBL1560,EFO_0000537,hypertension,4.0,CAPTOPRIL
CHEMBL1560,EFO_0000612,myocardial infarction,4.0,CAPTOPRIL
CHEMBL108,EFO_0000474,epilepsy,4.0,
CHEMBL108,EFO_0004263,partial epilepsy,4.0,
CHEMBL451887,EFO_0001378,multiple myeloma,4.0,
CHEMBL513,EFO_0000272,astrocytoma,4.0,CARMUSTINE
CHEMBL723,EFO_0003144,heart failure,4.0,
CHEMBL1201167,EFO_0000537,hypertension,4.0,
CHEMBL723,EFO_0000537,hypertension,4.0,
CHEMBL118,EFO_0003898,ankylosing spondylitis,4.0,CELECOXIB
CHEMBL118,EFO_0000305,breast carcinoma,3.0,CELECOXIB
CHEMBL118,EFO_0002609,juvenile idiopathic arthritis,4.0,CELECOXIB
CHEMBL118,EFO_0004616,"osteoarthritis, knee",3.0,CELECOXIB
CHEMBL118,EFO_0003843,pain,4.0,CELECOXIB
CHEMBL118,EFO_0000685,rheumatoid arthritis,4.0,CELECOXIB
CHEMBL1201831,EFO_0000685,rheumatoid arthritis,4.0,CERTOLIZUMAB PEGOL
